分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 12, IPv4: 137, IPv6: 0, 最小延迟: 56 ms, 最高速率: 90.82 M/s, 平均速率: 33.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 20, IPv4: 105, IPv6: 0, 最小延迟: 70 ms, 最高速率: 68.76 M/s, 平均速率: 18.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 12, IPv4: 160, IPv6: 0, 最小延迟: 66 ms, 最高速率: 76.83 M/s, 平均速率: 31.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 13, IPv4: 71, IPv6: 0, 最小延迟: 71 ms, 最高速率: 67.18 M/s, 平均速率: 35.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 61, IPv6: 0, 最小延迟: 59 ms, 最高速率: 74.89 M/s, 平均速率: 36.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 20, IPv4: 121, IPv6: 0, 最小延迟: 66 ms, 最高速率: 65.65 M/s, 平均速率: 23.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 164, IPv6: 0, 最小延迟: 59 ms, 最高速率: 92.29 M/s, 平均速率: 36.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 19, IPv4: 114, IPv6: 0, 最小延迟: 57 ms, 最高速率: 93.21 M/s, 平均速率: 39.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 20, IPv4: 110, IPv6: 0, 最小延迟: 68 ms, 最高速率: 73.54 M/s, 平均速率: 19.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 7, IPv4: 37, IPv6: 0, 最小延迟: 68 ms, 最高速率: 59.48 M/s, 平均速率: 42.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
