📡  电信广电,#genre#
HZTV-1,http://www.xinxuzhen.com:8000/udp/239.77.1.232:5146
HZTV-2,http://www.xinxuzhen.com:8000/udp/239.77.1.233:5146
珠海-1,http://www.xinxuzhen.com:8000/udp/239.77.0.155:5146
珠海-2,http://www.xinxuzhen.com:8000/udp/239.77.0.154:5146
肇庆综合,http://www.xinxuzhen.com:8000/udp/239.253.43.1:5146
肇庆生活服务,http://www.xinxuzhen.com:8000/udp/239.253.43.2:5146
河源综合,http://www.xinxuzhen.com:8000/udp/239.253.43.215:5146
河源综合,http://www.xinxuzhen.com:8000/udp/239.253.43.213:5146
河源公共,http://www.xinxuzhen.com:8000/udp/239.253.43.214:5146
清远新闻综合,http://www.xinxuzhen.com:8000/udp/239.253.43.33:5146
清远文旅生活,http://www.xinxuzhen.com:8000/udp/239.253.43.34:5146
云浮综合,http://www.xinxuzhen.com:8000/udp/239.77.0.253:5146
云浮文旅,http://www.xinxuzhen.com:8000/udp/239.77.0.254:5146
茂名综合,http://www.xinxuzhen.com:8000/udp/239.77.0.206:5146
茂名公共,http://www.xinxuzhen.com:8000/udp/239.77.0.207:5146
汕头综合,http://www.xinxuzhen.com:8000/udp/239.253.43.45:5146
汕头经济生活,http://www.xinxuzhen.com:8000/udp/239.253.43.46:5146
汕头文旅体育,http://www.xinxuzhen.com:8000/udp/239.253.43.47:5146
佛山公共,http://www.xinxuzhen.com:8000/udp/239.253.43.53:5146
佛山南海,http://www.xinxuzhen.com:8000/udp/239.77.0.236:5146
佛山南海,http://www.xinxuzhen.com:8000/udp/239.253.43.54:5146
佛山顺德,http://www.xinxuzhen.com:8000/udp/239.253.43.55:5146
佛山影视,http://www.xinxuzhen.com:8000/udp/239.253.43.56:5146
佛山综合,http://www.xinxuzhen.com:8000/udp/239.253.43.57:5146
东莞新闻综合,http://www.xinxuzhen.com:8000/udp/239.253.43.104:5146
东莞生活资讯,http://www.xinxuzhen.com:8000/udp/239.253.43.105:5146
中山综合,http://www.xinxuzhen.com:8000/udp/239.77.0.185:5146
中山综合,http://www.xinxuzhen.com:8000/udp/239.253.43.62:5146
香山文化,http://www.xinxuzhen.com:8000/udp/239.253.43.63:5146
潮州综合,http://www.xinxuzhen.com:8000/udp/239.253.43.70:5146
潮州民生,http://www.xinxuzhen.com:8000/udp/239.253.43.75:5146
梅州综合,http://www.xinxuzhen.com:8000/udp/239.253.43.123:5146
客家生活,http://www.xinxuzhen.com:8000/udp/239.253.43.124:5146
阳江1,http://www.xinxuzhen.com:8000/udp/239.253.43.82:5146
阳江2,http://www.xinxuzhen.com:8000/udp/239.253.43.83:5146
IPTV-央视,#genre#
CCTV-1,http://www.xinxuzhen.com:8000/udp/239.77.0.129:5146
CCTV-2,http://www.xinxuzhen.com:8000/udp/239.77.0.137:5146
CCTV-3,http://www.xinxuzhen.com:8000/udp/239.77.0.169:5146
CCTV-4,http://www.xinxuzhen.com:8000/udp/239.77.1.163:5146
CCTV-5,http://www.xinxuzhen.com:8000/udp/239.77.0.177:5146
CCTV-5+,http://www.xinxuzhen.com:8000/udp/239.77.0.87:5146
CCTV-6,http://www.xinxuzhen.com:8000/udp/239.77.0.171:5146
CCTV-7,http://www.xinxuzhen.com:8000/udp/239.77.1.159:5146
CCTV-8,http://www.xinxuzhen.com:8000/udp/239.77.0.172:5146
CCTV-9,http://www.xinxuzhen.com:8000/udp/239.77.1.160:5146
CCTV-10,http://www.xinxuzhen.com:8000/udp/239.77.1.113:5146
CCTV-11,http://www.xinxuzhen.com:8000/udp/239.77.1.108:5146
CCTV-13,http://www.xinxuzhen.com:8000/udp/239.77.0.42:5146
CCTV-14,http://www.xinxuzhen.com:8000/udp/239.77.1.161:5146
CCTV-15,http://www.xinxuzhen.com:8000/udp/239.77.1.120:5146
CCTV-16,http://www.xinxuzhen.com:8000/udp/239.77.0.165:5146
CCTV-17,http://www.xinxuzhen.com:8000/udp/239.77.1.121:5146
CCTV4K,http://www.xinxuzhen.com:8000/udp/239.77.0.194:5146
CCTV4K,http://www.xinxuzhen.com:8000/udp/239.77.1.180:5146
湖南卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.6:5146
湖南卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.56:5146
浙江卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.12:5146
浙江卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.58:5146
江苏卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.7:5146
江苏卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.57:5146
东方卫视,http://www.xinxuzhen.com:8000/udp/239.77.0.5:5146
东方卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.0.59:5146
安徽卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.92:5146
北京卫视,http://www.xinxuzhen.com:8000/udp/239.77.1.4:5146
北京卫视4K,http://www.xinxuzhen.com:8000/udp/239.77.1.13:5146
